base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
43_51_r0_d1,Stockholm,68.99662781,66.45357513,75.76282501,70.40434265,75.76282501,72.37972641,13.55788612,15.08403587,13.13841438,13.92677879,15.08403587,14.320961,0.156298056,0.184793636,0.139054418,0.160048703,0.184793636,0.170545846,0.473334372,0.435859621,0.464386255,0.457860082,0.473334372,0.468860313
41_53_r0_d0,SaoPaulo,133.1076813,140.9927979,134.1587219,136.0864003,140.9927979,137.5757599,9.292109489,8.792234421,9.22379303,9.102712313,9.292109489,9.25795126,0.026150834,0.020352053,0.033896733,0.026799873,0.033896733,0.030023783,0.400642782,0.435409665,0.404668063,0.413573503,0.435409665,0.420038864
69_6_r0_d1,Chicago,147.9590149,126.9451675,147.2064667,140.7035497,147.9590149,147.5827408,8.373343468,9.635456085,8.383505821,8.797435125,9.635456085,9.009480953,0.022247849,0.047401708,0.073513933,0.047721163,0.073513933,0.06045782,0.494081676,0.451721907,0.538095832,0.494633138,0.538095832,0.516088754
11_50_r0_d1,Stockholm,103.3286972,106.2075195,103.9888229,104.5083466,106.2075195,105.0981712,11.45762253,11.25306702,11.43643856,11.38237604,11.45762253,11.44703054,0.071156122,0.076382525,0.072993323,0.073510657,0.076382525,0.074687924,0.418675482,0.40419504,0.403210074,0.408693532,0.418675482,0.411435261
52_43_r0_d0,Chicago,121.4914474,121.462883,125.4907455,122.8150253,125.4907455,123.4910965,10.01686573,9.984507561,9.769808769,9.923727353,10.01686573,10.00068665,0.037110336,0.039588273,0.042265873,0.039654827,0.042265873,0.040927073,0.481173396,0.437442303,0.471881598,0.463499099,0.481173396,0.476527497
56_18_r0_d0,Mexico,124.3244934,119.0326157,119.4697113,120.9422735,124.3244934,121.8971024,9.88503933,10.26285267,10.23101616,10.12630272,10.26285267,10.24693441,0.030764619,0.048153434,0.044744775,0.041220943,0.048153434,0.046449104,0.420482695,0.425866842,0.439886272,0.42874527,0.439886272,0.432876557
21_15_r0_d1,Kigali,93.06499481,92.53470612,88.9957428,91.53181458,93.06499481,92.79985046,12.40044594,12.45007896,12.78878689,12.54643726,12.78878689,12.61943293,0.051359367,0.052952301,0.066740669,0.057017446,0.066740669,0.059846485,0.452826291,0.493267626,0.459488511,0.468527476,0.493267626,0.476378068
40_21_r0_d0,Kinshasa,74.22481537,74.66947937,73.53106689,74.14178721,74.66947937,74.44714737,14.3651886,14.31330967,14.44675446,14.37508424,14.44675446,14.40597153,0.092084989,0.09990067,0.099750586,0.097245415,0.09990067,0.099825628,0.398600757,0.391086161,0.402161837,0.397282918,0.402161837,0.400381297
8_29_r0_d0,SaoPaulo,133.034317,140.3046722,134.443634,135.9275411,140.3046722,137.3741531,9.296898842,8.834729195,9.205368042,9.112332026,9.296898842,9.251133442,0.024390612,0.028449049,0.027163321,0.026667661,0.028449049,0.027806185,0.394642174,0.481478035,0.440601885,0.438907365,0.481478035,0.46103996
45_12_r0_d1,Orlando,87.18755341,99.40574646,108.0138474,98.20238241,108.0138474,103.7097969,12.69021893,11.75955009,11.03819084,11.82931995,12.69021893,12.22488451,0.23671487,0.239790931,0.248015866,0.241507222,0.248015866,0.243903399,0.352540731,0.372716576,0.416947424,0.380734911,0.416947424,0.394832
5_43_r0_d1,Chicago,127.0864716,126.3232346,122.3975754,125.2690938,127.0864716,126.7048531,9.556857109,9.539690971,9.883386612,9.659978231,9.883386612,9.720121861,0.038662106,0.027190793,0.027116999,0.030989966,0.038662106,0.03292645,0.441683948,0.423270971,0.450131029,0.438361983,0.450131029,0.445907488
39_28_r0_d0,Kinshasa,73.91114807,78.75656128,75.79431152,76.15400696,78.75656128,77.2754364,14.40197372,13.85043716,14.18344021,14.1452837,14.40197372,14.29270697,0.083172739,0.085926823,0.091400817,0.08683346,0.091400817,0.08866382,0.42329061,0.421837091,0.417856723,0.420994808,0.42329061,0.422563851
57_37_r0_d1,Mexico,116.6887207,111.5274124,119.2517166,115.8226166,119.2517166,117.9702187,10.43559551,10.82853889,10.24688053,10.50367165,10.82853889,10.6320672,0.045534361,0.056303062,0.052821763,0.051553062,0.056303062,0.054562412,0.437607974,0.400574416,0.477482855,0.438555082,0.477482855,0.457545415
