base,city,img1_2SSIM,img1_2MS_SSIM,img1_2LPIPS,img2_3SSIM,img2_3MS_SSIM,img2_3LPIPS,img1_3SSIM,img1_3MS_SSIM,img1_3LPIPS,mean_SSIM,mean_MS_SSIM,mean_LPIPS
53_8_r0_d1,Chicago,0.09491956979036331,0.08842996507883072,0.5418639779090881,0.08576656877994537,0.011624202132225037,0.5662121176719666,0.06884350627660751,0.0,0.5427358150482178,0.0831765482823054,0.03335138907035192,0.5502706368764242
15_52_r0_d1,Mexico,0.03650655224919319,0.047833602875471115,0.3564666509628296,0.025562776252627373,0.03246176615357399,0.4155254364013672,0.03303767368197441,0.03582640364766121,0.43355733156204224,0.03170233406126499,0.03870725755890211,0.40184980630874634
39_87_r0_d1,Singapore,0.07777319103479385,0.0,0.5346598625183105,0.08849455416202545,0.0767303854227066,0.4707678258419037,0.08915180712938309,0.0,0.5361759662628174,0.0851398507754008,0.025576795140902202,0.5138678848743439
75_54_r0_d1,Orlando,0.15680120885372162,0.14845114946365356,0.42823922634124756,0.1523342877626419,0.16194014251232147,0.497585266828537,0.16718071699142456,0.19023291766643524,0.5008187294006348,0.15877207120259604,0.1668747365474701,0.47554774085680646
29_46_r1_d0,Kinshasa,0.07584764063358307,0.04239891096949577,0.3035072088241577,0.08870961517095566,0.08426568657159805,0.27594608068466187,0.07937975227832794,0.06260927766561508,0.293072909116745,0.08131233602762222,0.06309129173556964,0.29084206620852154
12_36_r1_d2,HongKong,0.09489661455154419,0.16202068328857422,0.5011498332023621,0.07047636061906815,0.12672172486782074,0.5182714462280273,0.07485146820545197,0.1600433737039566,0.5245058536529541,0.0800748144586881,0.1495952606201172,0.5146423776944479
16_18_r0_d1,Munich,0.0669248178601265,0.1163446381688118,0.3461819887161255,0.07080055773258209,0.15654683113098145,0.3447524309158325,0.05545448884367943,0.07498855143785477,0.3168589472770691,0.06439328814546268,0.11596000691254933,0.33593112230300903
33_16_r0_d0,HongKong,0.0910525694489479,0.055448491126298904,0.4709967076778412,0.07924529165029526,0.0586809404194355,0.5625981688499451,0.06879398971796036,0.0,0.5339463949203491,0.07969728360573451,0.03804314384857813,0.5225137571493784
30_76_r0_d1,Singapore,0.0514981783926487,0.10748544335365295,0.4636618494987488,0.055160898715257645,0.13608293235301971,0.46204444766044617,0.046841736882925034,0.10282909125089645,0.4732648730278015,0.051166937996943794,0.11546582231918971,0.46632372339566547
60_34_r1_d0,Kinshasa,0.22467918694019318,0.19604481756687164,0.6104769110679626,0.2429971694946289,0.31611406803131104,0.5385312438011169,0.0946609228849411,0.11531098932027817,0.6061697006225586,0.1874457597732544,0.20915662497282028,0.5850592851638794
14_31_r2_d0,HongKong,0.068794846534729,0.18238848447799683,0.371371328830719,0.046675462275743484,0.0866788849234581,0.4029359817504883,0.058026496320962906,0.1398589164018631,0.37574896216392517,0.057832268377145134,0.13630876193443933,0.38335209091504413
28_37_r0_d0,Singapore,0.06002083048224449,0.1666015088558197,0.38817840814590454,0.0639234185218811,0.13069263100624084,0.41217041015625,0.0503721684217453,0.13904453814029694,0.3981037735939026,0.0581054724752903,0.14544622600078583,0.39948419729868573
13_48_r0_d0,Kigali,0.17253191769123077,0.05730890855193138,0.43807992339134216,0.20965653657913208,0.1574985831975937,0.4172874093055725,0.18340526521205902,0.11003877967596054,0.39136984944343567,0.18853123982747397,0.10828209047516187,0.41557906071345013
28_18_r1_d2,Kigali,0.07202260196208954,0.014484443701803684,0.3336566984653473,0.07530394196510315,0.08039294928312302,0.36016127467155457,0.0572052001953125,0.015574060380458832,0.36730965971946716,0.06817724804083507,0.03681715112179518,0.353709210952123
45_42_r0_d1,Kinshasa,0.08661416172981262,0.0,0.3599206209182739,0.1101650819182396,0.12811480462551117,0.3846220374107361,0.06910016387701035,0.08942236751317978,0.44547268748283386,0.08862646917502086,0.07251239071289699,0.3966717819372813
41_67_r0_d1,SaoPaulo,0.045942824333906174,0.014227598905563354,0.3969133496284485,0.035697080194950104,0.03048098087310791,0.40793144702911377,0.03209306672215462,0.03396913781762123,0.37754425406455994,0.03791099041700363,0.026225905865430832,0.3941296835740407
30_38_r1_d0,Singapore,0.31894734501838684,0.16593427956104279,0.5199112296104431,0.1846744418144226,0.0,0.43204444646835327,0.25533992052078247,0.0,0.5649843215942383,0.25298723578453064,0.055311426520347595,0.5056466658910116
14_42_r0_d2,Munich,0.32192936539649963,0.39937344193458557,0.4038602411746979,0.24065129458904266,0.2276785969734192,0.5191945433616638,0.24152499437332153,0.21883468329906464,0.5664045810699463,0.2680352181196213,0.2819622407356898,0.49648645520210266
20_38_r1_d0,Stockholm,0.0665372982621193,0.0742604061961174,0.3712090849876404,0.08660575747489929,0.16018496453762054,0.3795378506183624,0.07643190026283264,0.10700169205665588,0.3834122121334076,0.07652498533328374,0.11381568759679794,0.37805304924647015
67_36_r0_d0,Orlando,0.09165935218334198,0.17049407958984375,0.37247705459594727,0.0879000723361969,0.11808974295854568,0.5406277179718018,0.07860437780618668,0.052982646971940994,0.5304068922996521,0.08605460077524185,0.11385548984011014,0.48117055495580036
61_52_r0_d1,Mexico,0.03917107731103897,0.0,0.3091190457344055,0.026277950033545494,0.0,0.3504762649536133,0.03535626083612442,0.046654123812913895,0.3372300863265991,0.03360176272690296,0.015551374604304632,0.332275132338206
8_48_r0_d1,Chicago,0.0358436219394207,0.008209172636270523,0.39835163950920105,0.018217312172055244,0.0,0.41228023171424866,0.029815690591931343,0.0,0.40953096747398376,0.02795887490113576,0.002736390878756841,0.40672094623247784
65_67_r0_d1,Chicago,0.058807190507650375,0.13229943811893463,0.362592875957489,0.07224825024604797,0.1413864642381668,0.43859168887138367,0.08916886895895004,0.09251479059457779,0.416181743144989,0.07340810323754947,0.12206689765055974,0.40578876932462055
4_36_r0_d1,SaoPaulo,0.01840580813586712,0.06376451253890991,0.4097674489021301,0.05313935503363609,0.14457784593105316,0.3792281150817871,0.01095216628164053,0.030009865760803223,0.3944600224494934,0.027499109817047913,0.07945074141025543,0.39448519547780353
10_38_r2_d1,HongKong,0.044475238770246506,0.07477313280105591,0.44562390446662903,0.03698298707604408,0.0071588060818612576,0.48199906945228577,0.04391839727759361,0.046388015151023865,0.4444199204444885,0.0417922077079614,0.04277331801131368,0.4573476314544678
65_34_r0_d0,Chicago,0.008427530527114868,0.0,0.3884321451187134,0.003667970886453986,0.0,0.34819933772087097,0.05398324877023697,0.1237454041838646,0.4005005359649658,0.02202625006126861,0.0412484680612882,0.3790440062681834
37_18_r1_d0,HongKong,0.11527197808027267,0.44555044174194336,0.26967352628707886,0.13072101771831512,0.4846777021884918,0.23530907928943634,0.1344354897737503,0.46922609210014343,0.31547820568084717,0.12680949519077936,0.4664847453435262,0.2734869370857875
